功能模块,大模型返回功能名称,指令关键词/指令内容,预期操作/响应,示例语句,备注说明,输出msg,输出result,和预期操作匹配程度
息屏,息屏,息屏、关机、关闭屏幕,息屏,"""我要关机""、""关机""",,好的，我已为您息屏。如果您需要进一步操作，可以随时告诉我哦。 || 好的，已为您息屏。如果您需要进一步的帮助，随时告诉我哦。,息屏 || 息屏,匹配||匹配
天气,"【日期】+天气
例如：
1、用户问：“今天天气怎么样”，返回今天天气；
2、用户问：“查看9月20号天气”，如果9月20号在当前日期15天内，则返回0920天气，否则我还只能查到15天内的天气哦；",【日期】+天气,"15日内：弹框显示对应日期的天气并语音播报
超过15日的：回复“我还只能查到15天内的天气哦”",“今天天气怎么样”、“后天是什么天气”,"默认为小雅定位地址，如果用户有报地址，需要显示和播报的是对应地址的天气；如果定位失败，用用户填写的家庭地址

例如小雅定位在长沙，询问杭州天气，需要可以支持（P1）",长沙市今天天气晴，温度14~21℃，当前为阴天，温度18℃，湿度68%，空气质量优质。建议关注天气变化，晴天时注意防晒，早晚温差较大可适当添衣。 || 后天（2025-11-07）长沙市白天多云，夜间小雨，气温15~24℃，降雨概率72%，记得携带雨具并添衣保暖哦。,今天天气 || 后天天气,匹配||匹配
,"【日期】+气温
同上",【日期】+气温,"15日内：弹框显示对应日期的天气并语音播报
超过15日的：回复“我还只能查到15天内的天气哦”",“今天气温如何”、“明天气温多少度”,,长沙市今天天气晴，温度14~21℃，当前为阴天，温度18℃，湿度68%，空气质量优质。建议关注天气变化，晴天时注意防晒，早晚温差较大可适当添衣。 || 长沙市2025-11-06的天气是多云，气温在15到23℃之间，空气质量优质。明天天气比较舒适，出门可以根据气温变化适当增减衣物~,今天天气 || 明天天气,匹配||匹配
,天气提示,【日期】+温度/多少度,"15日内：弹框显示对应日期的天气并语音播报
超过15日的：回复“我还只能查到15天内的天气哦”",“明天上午是什么温度”、“今天多少度”,,明天（2025-11-06）上午长沙市的温度范围预计为15~23℃，当前实时温度为18℃（阴），空气质量优质，东南风2级。天气较凉爽，出门可以带件薄外套，注意早晚温差哦。 || 长沙市今天白天最高温度21℃，最低温度14℃，当前温度18℃。天气比较温和，出门可以根据早晚温差适当增减衣物哦。,明天天气 || 今天天气,匹配||匹配
,天气提示,【日期】+【具体天气（如下雨、大雨、小雨、太阳、天晴、晴天、下雪、小雪、大雪、多云、阴天、雷暴、冰雹、雾、热、冷、降温、高温等）】,"15日内：弹框显示对应日期的天气并语音播报
超过15日的：回复“我还只能查到15天内的天气哦”",“下周一下雨吗”,,下周一（2025-11-10）会下雨，记得带上雨具哦。,特定日期天气,匹配
,天气提示,【时间段描述】+天气,"时间段在15天内：打开未来15天天气页面
时间段超过15天：打开未来15天天气页面，并回复“我还只能查到15天内的天气哦”",“接下来一周是什么天气”、“接下来一个月什么天气”,,长沙市接下来一周（11月6日-12日）天气以晴到多云为主，气温逐渐回升后维持稳定，无明显降水。具体如下：6日（周四）晴14~21℃，7日（周五）晴15~22℃，8日（周六）晴16~23℃，9日（周日）多云16~22℃，10日（周一）多云17~24℃，11日（周二）阴18~23℃，12日（周三）阴18~22℃。当前天气为阴，气温18℃，东南风2级，空气质量优质。出行请注意关注气温变化，适当增减衣物。 || 抱歉，小雅目前无法获取长沙市接下来一个月的详细天气信息，仅能提供未来7天及8-14天的天气情况，数据存在不足，建议您关注后续更新或使用其他专业气象平台查询具体天气。,后天天气 || 我还只能查到15天内的天气哦,匹配||匹配
,天气提示,【时间疑问（什么时候、啥时候、多久）】+【具体天气（同上）】,打开未来15天天气页面,“什么时候天晴”、“什么时候会下雨”、“啥时候才降温”,,长沙市11月8日（周六）和11月9日（周日）都是晴天，之后几天天气也以晴为主。如果想知道更精确的天晴时段，可以关注后续更新或使用专业气象平台查询哦。 || 长沙市未来一周天气晴好，无降雨。这段时间出门可以做好防晒，天气比较干燥，注意补水哦~ || 2025年11月8日长沙市将迎来中雨，最高温降至16℃，最低温13℃，从这天开始降温趋势明显。之后几天持续降雨且气温逐步降低，记得出门带好雨具，早晚添件薄外套哦。,特定日期天气 || 特定日期天气 || 明天天气,匹配||匹配||匹配
日历,"需要返回功能名称跟回复播报
1、功能名称：日期时间和万年历
2、回复播报:  如果用户问是几月几号？当天是公历9月24号，则返回今天是9月24号；如果问农历，则返回农历。",月几日、几号、日期、日历、农历、阴历、黄历、万年历,打开万年历并回答对应日期,“今天几月几号”、“明天农历多少”、“查一下黄历”、“打开万年历”、“惊蛰的日期”,,今天是2025年11月5日，希望你度过愉快的一天~ || 明天是农历十月初六。 || 今天是2025年11月5日，星期三，农历十月初五。黄历信息显示今日宜祭祀、祈福、求嗣，忌动土、破土。 || 今天是2025年11月5日，星期三，农历十月初五。需要查看具体日期的万年历信息可以告诉我哦~ || 2025年惊蛰的日期是3月5日，这一天通常气温开始回升，万物复苏，记得留意天气变化，适时增减衣物哦。,日期时间和万年历 || 日期时间和万年历 || 日期时间和万年历 || 日期时间和万年历 || 日期时间和万年历,匹配||匹配||匹配||匹配||匹配
,,"哪天适合/不适合、
【具体日期】+适合/不适合",打开万年历，并根据黄历回答最近一天/指定月适合的日期，例如“小雅查到最近一天适合搬家的日期是XXXX年XX月XX日”,“哪天适合搬家”、“哪天不适合出行”、“明天适合开业吗”、“9月10日适合立碑吗？”,,今天是2025年11月5日，根据万年历信息，搬家吉日需要结合具体黄历宜忌，建议您查看当天的宜忌详情或提供更明确的日期范围，以便给出更精准的搬家建议哦。 || 长沙市11月08日（周六）有小雨、11月10日（周一）可能有雨夹雪，这两天温度较低，不太适合出行，建议避开这两天安排出行计划，雨天出行记得带好雨具哦。 || 明天（2025-11-06）长沙市天气为多云，气温15~23℃，东南风0-3级，空气质量优质。虽然有4%的降水概率，但整体天气条件适合开业，建议准备雨具以防不时之需。 || 立碑的择日属于传统民俗范畴，小雅的建议仅供参考。若从气象角度，9月10日长沙天气尚未可知，建议关注临近天气预报，选择晴好天气进行操作。另外，若涉及殡葬相关事务，需遵守当地法律法规和相关规定。,日期时间和万年历 || 特定日期天气 || 明天天气 || 日期时间和万年历,匹配||匹配||匹配||匹配
,,【具体的十二节气】,打开万年历到对应日期并语音回答对应日期,“今年霜降是几号？”、“啥时候立秋？”,默认都是今年，若有问对应年份，则到对应年份,今年霜降是11月7日（根据万年历信息）。霜降时节气温会逐渐降低，早晚温差较大，记得注意添衣保暖，做好防寒准备哦。 || 2025年立秋是8月7日09:39（东八区），此时太阳到达黄经135°，标志着秋季开始。,日期时间和万年历 || 日期时间和万年历,匹配||匹配
