功能模块,大模型返回功能名称,指令关键词/指令内容,预期操作/响应,示例语句,备注说明,输出msg,输出result,和预期操作匹配程度
息屏,息屏,息屏、关机、关闭屏幕,息屏,"""我要关机""、""关机""",,,,
天气,"【日期】+天气
例如：
1、用户问：“今天天气怎么样”，返回今天天气；
2、用户问：“查看9月20号天气”，如果9月20号在当前日期15天内，则返回0920天气，否则我还只能查到15天内的天气哦；",【日期】+天气,"15日内：弹框显示对应日期的天气并语音播报
超过15日的：回复“我还只能查到15天内的天气哦”",“今天天气怎么样”、“后天是什么天气”,"默认为小雅定位地址，如果用户有报地址，需要显示和播报的是对应地址的天气；如果定位失败，用用户填写的家庭地址

例如小雅定位在长沙，询问杭州天气，需要可以支持（P1）",,,
,"【日期】+气温
同上",【日期】+气温,"15日内：弹框显示对应日期的天气并语音播报
超过15日的：回复“我还只能查到15天内的天气哦”",“今天气温如何”、“明天气温多少度”,,,,
,天气提示,【日期】+温度/多少度,"15日内：弹框显示对应日期的天气并语音播报
超过15日的：回复“我还只能查到15天内的天气哦”",“明天上午是什么温度”、“今天多少度”,,,,
,天气提示,【日期】+【具体天气（如下雨、大雨、小雨、太阳、天晴、晴天、下雪、小雪、大雪、多云、阴天、雷暴、冰雹、雾、热、冷、降温、高温等）】,"15日内：弹框显示对应日期的天气并语音播报
超过15日的：回复“我还只能查到15天内的天气哦”",“下周一下雨吗”,,,,
,天气提示,【时间段描述】+天气,"时间段在15天内：打开未来15天天气页面
时间段超过15天：打开未来15天天气页面，并回复“我还只能查到15天内的天气哦”",“接下来一周是什么天气”、“接下来一个月什么天气”,,,,
,天气提示,【时间疑问（什么时候、啥时候、多久）】+【具体天气（同上）】,打开未来15天天气页面,“什么时候天晴”、“什么时候会下雨”、“啥时候才降温”,,,,
日历,"需要返回功能名称跟回复播报
1、功能名称：日期时间和万年历
2、回复播报:  如果用户问是几月几号？当天是公历9月24号，则返回今天是9月24号；如果问农历，则返回农历。",月几日、几号、日期、日历、农历、阴历、黄历、万年历,打开万年历并回答对应日期,“今天几月几号”、“明天农历多少”、“查一下黄历”、“打开万年历”、“惊蛰的日期”,,,,
,,"哪天适合/不适合、
【具体日期】+适合/不适合",打开万年历，并根据黄历回答最近一天/指定月适合的日期，例如“小雅查到最近一天适合搬家的日期是XXXX年XX月XX日”,“哪天适合搬家”、“哪天不适合出行”、“明天适合开业吗”、“9月10日适合立碑吗？”,,,,
,,【具体的十二节气】,打开万年历到对应日期并语音回答对应日期,“今年霜降是几号？”、“啥时候立秋？”,默认都是今年，若有问对应年份，则到对应年份,,,
时间,返回播报时间,几点、时间,语音播报现在时间,“现在几点”、“现在什么时间”,大模型返回内容不正确,,,
,闹钟页面,打开闹钟,打开闹钟页面，并回复“好的，已打开您的闹钟页面”,“打开闹钟页面”、“打开闹钟功能”,,,,
,新增闹钟,定一个闹钟、定个闹钟、设置一个闹钟、添加一个闹钟,进入闹钟页面并且打开新增闹钟弹框，并回复“好的，已为您打开新增闹钟页面，请您开始设置”,“给我定个闹钟”、“帮我添加一个闹钟”、“给我设置一个闹钟”,,,,
,"新增闹钟
2025-10-09 16:03:02",定一个/定个/设置一个/添加一个【XXX（时间）】的闹钟,"成功新增闹钟：
闹钟事件：闹钟
闹钟时间：XXX
闹钟频次：一次
并回复：好的，我会在【XXX时间】闹铃提醒您",“定个10分钟后的闹钟”、“设置一个下午6点的闹钟”,,,,
,,【XX频次】提醒我【XXX时间】【XXX事件】,"成功新增闹钟：
闹钟事件：XXX事件
闹钟时间：XXX时间
闹钟频次：XX频次
并回复：好的，我会在【XX频次】【XXX时间】闹铃提醒您【XXX事件】",“提醒我10分钟后煮饭”、“提醒我每周三上午10点打电话给女儿”,"没有频次时，则闹钟频次为“一次”，回复时不带频次：我会在【XXX时间】闹铃提醒您【XXX事件】
问题：用户说：“提醒我每周三上午10点打电话给女儿”，大模型返回时间不对。",,,
设置,小雅设置,小雅设置,打开小雅设置页面,“打开小雅设置”,,,,
,声音调低或声音调小,声音小一点、小声一点,声音下调10%，调整完成后回复“已调整，现在声音合适吗？”,“声音小一点”、“小声一点”,如果用户回复有需要，继续调整,,,
,声音调高或声音调大,声音大一点、大声一点,声音上调10%，调整完成后回复“已调整，现在声音合适吗？”,“声音大一点”、“大声一点”,如果用户回复有需要，继续调整，若当前为最大声，则回复“当前已是最大声哦～”,,,
,亮度调高或亮度调亮,屏幕亮一点,屏幕调亮10%，调整完成后回复“已调整，现在亮度合适吗？”,“屏幕亮一点”,如果用户回复有需要，继续调整，若当前为最大亮度，则回复“当前屏幕已是最大亮度哦～”,,,
,亮度调低或亮度调暗,屏幕暗一点,屏幕调暗10%，调整完成后回复“已调整，现在亮度合适吗？”,“屏幕暗一点”,如果用户回复有需要，继续调整,,,
健康监测,健康监测,监测、检查、健康检测、健康检查,打开健康监测页面，并回复“您是要给【第一个人姓名】测量【第一个项目】吗？”,“打开健康监测”、“我想做健康检测”、“我要做健康检查”,当用户说打开【XXX（人名）】的健康监测/健康检查时，需要直接跳转到健康监测页面到该用户的Tab页,,,
,用户有描述姓名则返回：血压监测+姓名；否则，返回健康监测,血压,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血压”、“我要量血压”、“帮我测一下血压”、“给我量一下血压”,当用户说给【XXX（人名）】测量血压时，若存在该用户，需要直接跳转到该用户的血压测量页面。,,,
,用户有描述姓名则返回：血氧监测+姓名；否则，返回健康监测,血氧,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血氧”、“帮我测血氧”、“打开血氧检查”,当用户说给【XXX（人名）】测量血氧时，若存在该用户，需要直接跳转到该用户的血压测量页面。,,,
,用户有描述姓名则返回：心率监测+姓名；否则，返回健康监测,心率,打开健康监测页面，并回复“您可以通过测量血压或血氧测量心率，请选择后测量”,“我现在心率是多少”、“帮我测一下心率”、“我要测心率”,用户说通过【血压/血氧】给【XXX（人名）】测量心率时，若存在该用户，需要直接跳转到该用户的【血压/血氧】测量页面。,,,
,用户有描述姓名则返回：血糖监测+姓名；否则，返回健康监测,血糖,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血糖”、“帮我测一下血糖”、“打开血糖检查”,当用户说给【XXX（人名）】测量血糖时，若存在该用户，需要直接跳转到该用户的血糖测量页面。,,,
,用户有描述姓名则返回：血脂监测+姓名；否则，返回健康监测,血脂,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血脂”、“帮我测一下血脂”、“打开血脂监测”,当用户说给【XXX（人名）】测量血脂时，若存在该用户，需要直接跳转到该用户的血脂测量页面。,,,
,用户有描述姓名则返回：体重监测+姓名；否则，返回健康监测,体重,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测体重”、“帮我测一下体重”、“打开体重测量”,当用户说给【XXX（人名）】测量体重时，若存在该用户，需要直接跳转到该用户的体重测量页面。,,,
,用户有描述姓名则返回：体温监测+姓名；否则，返回健康监测,体温,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测体温”、“帮我测一下体温”、“打开体温测量”,当用户说给【XXX（人名）】测量体温时，若存在该用户，需要直接跳转到该用户的体温测量页面。,,,
,用户有描述姓名则返回：血红蛋白监测+姓名；否则，返回健康监测,血红蛋白,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测血红蛋白”、“帮我测一下血红蛋白”、“打开血红蛋白测量”,当用户说给【XXX（人名）】测量血红蛋白时，若存在该用户，需要直接跳转到该用户的血红蛋白测量页面。,,,
,用户有描述姓名则返回：尿酸监测+姓名；否则，返回健康监测,尿酸,打开健康监测页面，并回复“您是要给【第一个人姓名】测量吗？”,“我要测尿酸”、“帮我测一下尿酸”、“打开尿酸测量”,当用户说给【XXX（人名）】测量尿酸时，若存在该用户，需要直接跳转到该用户的尿酸测量页面。,,,
,用户有描述姓名则返回：睡眠监管+姓名；否则，返回健康监测,睡眠,打开睡眠监控页面，并回复“您是要查看【第一个人姓名】的睡眠吗？”,“我想看我的睡眠情况”、“打开睡眠监控页面”,当用户说看【XXX（人名）】的睡眠时，若存在该用户，需要直接跳转到该用户的睡眠监控页面。,,,
健康评估,健康评估,健康评估、评估健康、评估一下健康,打开健康评估选择用户页面，并回复“您是要给【第一个人姓名】评估吗？”,“打开健康评估功能”、“给我做个健康评估”、“帮我评估健康情况”、“帮我评估一下健康状况”,当用户说给【XXX（人名）】做健康评估时，若存在该用户，需要直接跳转到该用户的健康评估页面,,,
,健康评估,【具体项目】+评估,打开健康评估选择用户页面，并回复“您是要给【第一个人姓名】评估吗？”,“帮我做一下心理评估”、“给我做一下营养状况评估”,"· 可口述选择用户，选择完用户后直接进入对应的项目评估
· 当用户说给【XXX（人名）】做健康评估时，若存在该用户，需要直接跳转到该用户的对应项目的评估页面",,,
健康科普,健康科普,健康科普,打开健康科普页面,“打开健康科普页面”,,,,
,健康科普,给我讲讲/说说【XXX知识内容】+知识,"直接打开对应知识详情（视频>文章）
不存在相关“知识”，打开健康科普，并回复“我还没有相关知识，您可以先学学别的健康知识哦”",“给我讲讲高血压的相关知识”,,,,
,健康科普,怎么判断+【XXX知识内容】,"直接打开对应知识详情（视频>文章）
不存在相关“知识”，打开健康科普，并回复“我还没有相关知识，您可以先学学别的健康知识哦”",“怎么判断有没有高血压”,,,,
,健康科普,【XXX知识内容】+怎么处理/怎么办,"直接打开对应知识详情（视频>文章）
不存在相关“知识”，打开健康科普，并回复“我还没有相关知识，您可以先学学别的健康知识哦”",“被蜜蜂蜇了怎么办”,,,,
健康画像,返回：健康画像与用户姓名,【用户姓名】+画像、健康状况,· 若有说用户姓名：打开【用户姓名】的健康画像页面，并回复“好的，已打开【用户姓名】的健康画像，请查看”；,“看一下AAA的健康画像”、“打开健康画像”、“打开AAA的健康画像”、“AAA的健康状况是怎样的”,,,,
,健康画像,“打开健康画像”,· 若未找到用户姓名或未说用户姓名：打开健康画像选择用户页面，并回复“您是要查看【第一个人姓名】的健康画像吗？”,,,,,
小雅医生,"1、如果用户仅说：“打开小雅医生/健康咨询”，则仅需返回小雅医生
2、若有说用户姓名，则返回小雅医生与医生姓名",【用户姓名】+小雅医生/健康咨询,"· 若有说用户姓名：打开小雅医生并已选择用户【用户姓名】，进入小雅医生流程
· 若未找到用户姓名或未说用户姓名：打开小雅医生选择用户页面，并回复“您是要为【第一个人姓名】咨询小雅医生吗？”",“打开小雅医生”、“我要为AAA做健康咨询”,,,,
名医问诊,名医问诊,名医、远程问诊,打开名医问诊选择用户页面，并回答“您是要为【第一个人姓名】找名医吗？”,“打开名医问诊”、“帮我找名医问诊”、“我想远程问诊”,,,,
